id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
24085536,2185494660,261195089,55.5558634833,1,1,1,2,2,"LINESTRING(-87.7456586 41.9559999, -87.7456761 41.9564988)"
24085536,261195089,2185494775,232.9794293097,1,1,1,2,2,"LINESTRING(-87.7456761 41.9564988, -87.7456916 41.9571167, -87.7457091 41.9575557, -87.7457269 41.9580037, -87.7457469 41.9584632, -87.7457524 41.9585909)"
24085536,2185494775,261176969,145.0451124069,1,1,1,2,2,"LINESTRING(-87.7457524 41.9585909, -87.7457622 41.9588155, -87.7460467 41.9593783, -87.7462724 41.9598248)"
24086553,261199734,2401873920,49.867190886,1,1,0,2,0,"LINESTRING(-87.7273262 41.9439828, -87.7279284 41.9439760)"
24086553,2401873920,261199735,101.6804532019,1,1,0,2,0,"LINESTRING(-87.7279284 41.9439760, -87.7291563 41.9439621)"
24086553,261199735,2401873891,128.0195191542,1,1,0,2,0,"LINESTRING(-87.7291563 41.9439621, -87.7307021 41.9439376)"
24086553,2401873891,261199736,41.8394691934,1,1,0,2,0,"LINESTRING(-87.7307021 41.9439376, -87.7312073 41.9439296)"
24089124,261187473,261178101,407.8619462619,1,1,1,2,2,"LINESTRING(-87.7407758 41.9407359, -87.7408330 41.9425745, -87.7408786 41.9443990)"
24089124,261178101,2402691773,149.6178518584,1,1,1,2,2,"LINESTRING(-87.7408786 41.9443990, -87.7409133 41.9457428)"
24089124,2402691773,289550316,50.5149696064,1,1,1,2,2,"LINESTRING(-87.7409133 41.9457428, -87.7409252 41.9461965)"
24089130,369630920,2185494651,60.1119017289,1,1,1,2,2,"LINESTRING(-87.7417557 41.9534885, -87.7417695 41.9540284)"
24089130,2185494651,409169504,443.8381667601,1,1,1,2,2,"LINESTRING(-87.7417695 41.9540284, -87.7418482 41.9570982, -87.7419549 41.9573748, -87.7420385 41.9575439, -87.7420523 41.9575785, -87.7420606 41.9576134, -87.7421098 41.9579889)"
24090523,316325936,2185494759,56.6217147156,1,1,0,2,0,"LINESTRING(-87.7510280 41.9533710, -87.7510443 41.9538795)"
24090523,2185494759,261218163,48.7938820661,1,1,0,2,0,"LINESTRING(-87.7510443 41.9538795, -87.7510584 41.9543177)"
24090523,261218163,2186461128,48.2831624103,1,1,0,2,0,"LINESTRING(-87.7510584 41.9543177, -87.7510777 41.9547512)"
24090523,2186461128,261147241,50.9672167394,1,1,0,2,0,"LINESTRING(-87.7510777 41.9547512, -87.7510980 41.9552088)"
24091163,261195034,2185494862,160.4313008788,1,1,0,2,0,"LINESTRING(-87.7446717 41.9507126, -87.7466092 41.9506869)"
24091163,2185494862,316319260,52.4805040003,1,1,0,2,0,"LINESTRING(-87.7466092 41.9506869, -87.7472430 41.9506786)"
